ホストA,"あの、想像してみてください。
ある朝目覚めると、"
ホストA,"ま、世界のエネルギー供給の
 20% が跡形もなく消滅していると。"
ホストB,ええ、いきなりですよね。
ホストA,"そうなんですよ。なんか
徐々に減っていくんじゃなくて"
ホストA,巨大なスイッチが急に切られたみたいに、
ホストA,たった数日で起きるんです。
ホストA,"これちょっとした SF 映画の
オープニングみたいじゃないですか?"
ホストB,全くですね。でも、えっと、
ホストB,"残念ながらこれはフィクションではなくって
現在の中東で現実に起きていることなんです。"
ホストA,はい。今日はリスナーのあなたが
ホストA,"私たちに送ってくれたあの
膨大なレポートとデータの"
ホストA,"山を徹底的に解剖していく
ディープダイブです。"
ホストA,あなたが集めてくれたこのリソース本当に
ホストA,素晴らしい視点に溢れていましたよね。
ホストB,"そうですね。かなり踏み
込んだ分析ばかりで。"
ホストA,"ええ。で、今回の私たちのミッションは
単なる原油価格が"
ホストA,"高騰しているみたいなそういう
表面的なニュースのノイズを"
ホストA,完全に排除することです。
ホストB,なるほど。本質を見極めると。
ホストA,"その通りです。あなたが日々チェックしている
ポートフォリオとか"
ホストA,"日常の消費行動の裏側で世界経済の
 OS つまりオペレーティングシステムそのものが"
ホストA,"今どう書き換えられようとしているのかその
システムの変化を"
ホストA,抽出していきたいと思います。
ホストB,"私もあのあなたが共有してくれた
分析データを改めて見て正直背筋が"
ホストB,凍る思いでした。この事態は単に
ホストB,"ガソリン代が上がるとかそういう
レベルの話ではないんですよね。"
ホストA,ていうかもっと根本的なところですよね。
ホストB,ええ。世界経済の血液の循環が物理的に
ホストB,止まった時どの臓器が最初に悲鳴を
ホストB,上げるのか、そしてどんな連鎖反応、
ホストB,つまりカスケード効果が起きるのか。
ホストB,"今日はそのメカニズムを徹底的に
深掘りしていきましょう。"
ホストA,"是非お願いします。で、
まずはあなたが送ってくれた資料の最初の"
ホストA,"セクションにあったあの現場で起きている
物理的な現実から見ていきたいんですけど"
ホストB,はい。あのショッキングな数字ですね。
ホストA,そう。あの数字何度見ても目を疑いますよ。
ホストA,"ホルムズ海峡のタンカー通行量がわずか
 1 週間で、えっと 95% も"
ホストA,減少しているんですよね。
ホストB,"ええ、しかも原油の積み出しに至っては
 99% ですからね。"
ホストA,"つまり海峡が実質的に
機能停止しているっていうことじゃないですか?これ"
ホストB,"その通りです。あの
パーセンテージだけだとちょっと規模感が"
ホストB,"掴みにくいかもしれないんですけど
物理的なインパクトで言うとこれ"
ホストB,"世界の石油供給の
 15% から 20% さらに LNG つまり液化天然ガス貿易の 22% が"
ホストB,危険にさらされているってことなんですよ。
ホストB,22% ですか?
ホストA,はい。例えるなら世界のエネルギーの
ホストA,"大動脈に巨大な血栓がっつり
詰まった状態と言えますね。"
ホストB,"ああ、なるほど。その結果としてブレント原油は
 1 ヶ月で 59% も"
ホストB,"急騰して一時 116 ドルから
 119 ドル付近まで到達したと。"
ホストB,"これ 1990 年の湾岸戦争時を
凌駕する上昇ペースですよね。"
ホストB,"あなたが提供してくれた
チャートにも明確に出てましたよね。"
ホストA,"ええ、そこがすごく重要でここで
比較すべきなのは"
ホストA,"ウクライナ進行が始まった
 2022 年の時とのあの"
ホストA,構造的な違いなんですよ。
ホストB,構造的な違いというと
ホストA,あの時も世界はロシア産原油の
ホストA,"供給喪失にパニックになってブレント原油は
 140 ドル近くまで跳ね上がりましたよね。"
ホストA,"でも冷静にデータを
振り返ると当時失われたロシア産原油の"
ホストA,"シェアって世界全体の
 7% から 8% 程度だったんです。"
ホストB,あ、今回はその倍、15% から 20% が
ホストB,"市場から消えようとしているってことですよね。
でも現時点では 2022"
ホストB," 年ほどの価格爆発には至っていないようにも
見えますけどなぜなんでしょう?"
ホストA,"それはですね端的に
言ってバッファーの違いです。"
ホストA,"現在 OECD 諸国の原油在庫は
 2022 年当時よりも、ま、 2"
ホストA, 億バレル多く積み上がっているんですね。
ホストB,2 億バレルですか?
ホストA,"はい。つまり世界は今備蓄という名の貯金を
必死に取り崩してなんとか食いつないでいる"
ホストA,状態なんですよ。
ホストB,でもそれっていつまでも続かないですよね。
ホストA,ええ、喪失供給量が圧倒的に多いですから、
ホストA,"もしこの物理的な遮断が
 2 週間あるいはそれ"
ホストA,"以上完全に続いてしまったら、その 2
 億バレルのバッファーすら一瞬で"
ホストA,"蒸発します。アメリカとかでもあの
 LNG の生産能力を追加しようっていう"
ホストA,動きはありますよね。
ホストB,"ありますけど正直中東の損失規模を
補うには全く足りません。"
ホストB,"まあ例えるなら燃える山火事を水鉄砲で
消そうとしているようなそんな状況ですね。"
ホストA,"うーん。それは絶望的ですね。
あの送ってくれた"
ホストA,"マクロ経済のレポートを読みながら
私が感じたのはこれってまさに最悪の"
ホストA,"タイミングの母というか
ザ・マザー・オブ・タイミングズだなってことなんです。"
ホストB,最悪のタイミングの母、面白い表現ですね。
ホストA,"コロナ禍のサプライチェーン分断とか
関税の後遺症からあのようやく"
ホストA,"世界経済の身体が回復してインフレも
落ち着き始めていたじゃないですか。"
ホストA,"その矢先に最も重要な動脈を
突然切断されるわけですから。"
ホストB,まさにその通りです。たださらに
ホストB,厄介なのはその切断によるダメージがえっと
ホストB,"世界中どこでも同じように
現れるわけではないってことなんですよ。"
ホストA,というと
ホストB,"ここにすごく恐ろしい非対称性、
要するに不平等な痛みが存在しているんです。"
ホストA,ああ、なるほど。アジアと欧州の
